<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.12.03	17:45:00	1.05086	1.05185	1.05064	1.05166	2886	0	2
2024.12.03	18:00:00	1.05166	1.05187	1.05032	1.05060	2508	0	2
2024.12.03	18:15:00	1.05060	1.05160	1.05059	1.05078	1883	0	2
2024.12.03	18:30:00	1.05080	1.05128	1.05031	1.05125	1443	0	2
2024.12.03	18:45:00	1.05125	1.05195	1.05098	1.05176	1457	0	2
2024.12.03	19:00:00	1.05176	1.05228	1.05176	1.05211	1657	0	2
2024.12.03	19:15:00	1.05211	1.05234	1.05137	1.05164	1188	0	2
2024.12.03	19:30:00	1.05164	1.05194	1.05098	1.05100	1219	0	2
2024.12.03	19:45:00	1.05100	1.05303	1.05082	1.05284	1620	0	2
2024.12.03	20:00:00	1.05281	1.05350	1.05280	1.05301	1489	0	2
2024.12.03	20:15:00	1.05301	1.05341	1.05273	1.05321	1096	0	2
2024.12.03	20:30:00	1.05322	1.05340	1.05282	1.05293	916	0	2
2024.12.03	20:45:00	1.05293	1.05300	1.05248	1.05278	918	0	2
2024.12.03	21:00:00	1.05278	1.05289	1.05180	1.05181	739	0	2
2024.12.03	21:15:00	1.05182	1.05199	1.05120	1.05135	1013	0	2
2024.12.03	21:30:00	1.05135	1.05167	1.05120	1.05126	943	0	2
2024.12.03	21:45:00	1.05126	1.05126	1.05045	1.05045	809	0	2
2024.12.03	22:00:00	1.05045	1.05126	1.05027	1.05118	934	0	2
2024.12.03	22:15:00	1.05118	1.05124	1.05079	1.05085	787	0	2
2024.12.03	22:30:00	1.05086	1.05107	1.05059	1.05069	937	0	2
2024.12.03	22:45:00	1.05069	1.05099	1.05058	1.05090	762	0	2
2024.12.03	23:00:00	1.05086	1.05107	1.05069	1.05080	575	0	2
2024.12.03	23:15:00	1.05080	1.05098	1.05073	1.05093	257	0	2
2024.12.03	23:30:00	1.05093	1.05117	1.05088	1.05104	278	0	2
2024.12.03	23:45:00	1.05104	1.05104	1.05084	1.05093	193	0	27
2024.12.04	00:00:00	1.05052	1.05056	1.05047	1.05054	91	0	26
2024.12.04	00:15:00	1.05054	1.05086	1.05036	1.05071	152	0	26
2024.12.04	00:30:00	1.05071	1.05083	1.05071	1.05074	84	0	25
2024.12.04	00:45:00	1.05074	1.05084	1.05067	1.05082	263	0	25
2024.12.04	01:00:00	1.05082	1.05090	1.05058	1.05063	457	0	2
2024.12.04	01:15:00	1.05063	1.05081	1.05062	1.05078	344	0	2
2024.12.04	01:30:00	1.05078	1.05088	1.05073	1.05084	324	0	2
2024.12.04	01:45:00	1.05084	1.05110	1.05076	1.05100	331	0	2
2024.12.04	02:00:00	1.05100	1.05121	1.05070	1.05081	594	0	2
2024.12.04	02:15:00	1.05082	1.05082	1.05028	1.05033	629	0	2
2024.12.04	02:30:00	1.05033	1.05033	1.04971	1.04991	973	0	2
2024.12.04	02:45:00	1.04991	1.05032	1.04977	1.04991	913	0	2
2024.12.04	03:00:00	1.04990	1.05005	1.04972	1.04989	1041	0	2
2024.12.04	03:15:00	1.04989	1.05098	1.04980	1.05060	1283	0	2
2024.12.04	03:30:00	1.05060	1.05125	1.05055	1.05090	1179	0	2
2024.12.04	03:45:00	1.05090	1.05092	1.05039	1.05059	1215	0	2
2024.12.04	04:00:00	1.05060	1.05084	1.05013	1.05032	1080	0	2
