result,pnl,exit_time,entry_time,entry_price,sl,tp
loss,-0.0024000000000001798,2025-04-15 18:30:00,2025-04-15 17:45:00,1.13288,1.13048,1.1376800000000005
win,0.005980000000000096,2025-04-16 08:45:00,2025-04-16 03:00:00,1.13132,1.12833,1.1373000000000002
loss,-0.00279000000000007,2025-04-16 11:15:00,2025-04-16 10:45:00,1.1387,1.13591,1.1442800000000002
loss,-0.0010700000000001264,2025-04-17 02:45:00,2025-04-17 02:30:00,1.14056,1.13949,1.1427000000000003
loss,-0.0033199999999999896,2025-04-17 15:15:00,2025-04-17 10:45:00,1.13766,1.13434,1.1442999999999999
loss,-0.001060000000000061,2025-04-18 03:45:00,2025-04-18 03:00:00,1.13757,1.13651,1.13969
loss,-0.0004499999999998394,2025-04-18 07:45:00,2025-04-18 07:30:00,1.13739,1.13694,1.1382899999999996
win,0.00132000000000021,2025-04-21 00:15:00,2025-04-18 19:45:00,1.13944,1.13878,1.1407600000000002
loss,-0.006299999999999972,2025-04-21 16:15:00,2025-04-21 12:00:00,1.15678,1.15048,1.1693799999999999
loss,-0.0014600000000000168,2025-04-22 03:00:00,2025-04-22 01:00:00,1.15194,1.15048,1.15486
loss,-0.0023999999999999577,2025-04-22 09:30:00,2025-04-22 08:45:00,1.15422,1.15182,1.15902
loss,-0.002969999999999917,2025-04-22 19:00:00,2025-04-22 17:30:00,1.14856,1.14559,1.1544999999999999
loss,-0.003309999999999924,2025-04-23 16:30:00,2025-04-23 11:45:00,1.14129,1.13798,1.1479099999999998
win,0.0019599999999999618,2025-04-24 01:00:00,2025-04-24 00:45:00,1.13201,1.13103,1.13397
loss,-0.0033600000000000296,2025-04-25 07:00:00,2025-04-24 04:15:00,1.13549,1.13213,1.1422100000000002
loss,-0.0018199999999999328,2025-04-30 03:45:00,2025-04-30 01:15:00,1.13954,1.13772,1.1431799999999999
loss,0.0005900000000000905,2025-05-14 16:00:00,2025-05-14 15:45:00,1.12252,1.12311,1.1213399999999998
loss,0.000140000000000029,2025-05-19 05:45:00,2025-05-19 05:30:00,1.11786,1.118,1.11758
loss,-0.0011900000000000244,2025-05-21 10:00:00,2025-05-21 09:00:00,1.13382,1.13263,1.1362
loss,-0.0023800000000000487,2025-05-21 21:45:00,2025-05-21 20:15:00,1.13562,1.13324,1.1403800000000002
loss,-0.0012699999999998823,2025-05-22 09:30:00,2025-05-22 09:00:00,1.13373,1.13246,1.1362699999999997
loss,-0.0018500000000001293,2025-05-22 15:30:00,2025-05-22 14:15:00,1.13088,1.12903,1.1345800000000004
loss,-0.0023400000000000087,2025-05-23 14:30:00,2025-05-23 13:00:00,1.13561,1.13327,1.14029
loss,-0.0013900000000000023,2025-05-26 10:00:00,2025-05-26 08:45:00,1.14172,1.14033,1.1445
loss,-0.0008299999999998864,2025-05-26 19:15:00,2025-05-26 17:45:00,1.13842,1.13759,1.1400799999999998
loss,-0.0004900000000001015,2025-05-27 00:00:00,2025-05-26 22:45:00,1.13853,1.13804,1.1395100000000002
loss,-0.0012999999999998568,2025-05-27 07:30:00,2025-05-27 05:30:00,1.14,1.1387,1.1425999999999996
loss,-0.0022100000000000453,2025-05-27 17:30:00,2025-05-27 15:15:00,1.13628,1.13407,1.1407
loss,-0.0008999999999999009,2025-05-27 23:00:00,2025-05-27 22:30:00,1.13374,1.13284,1.1355399999999998
loss,-0.0008300000000001084,2025-05-28 04:00:00,2025-05-28 03:00:00,1.13396,1.13313,1.1356200000000003
loss,-0.0025100000000000122,2025-05-28 18:15:00,2025-05-28 10:00:00,1.13205,1.12954,1.13707
